Molecule1,Representation1,Molecule2,Representation2,Same
NF3,Lewis,NH3,SF,0
NF3,Lewis,NF3,SF,1
C3H3OH,SF,C4H5Cl,Lewis,0
SO4(2-),SF,SO4(2-),Lewis,1
SO3(2-),Lewis,PBr3,SF,0
HCO3-,SF,SF6,Lewis,0
CH3-,Lewis,CH3-,SF,1
C3H3+,SF,CH4,Lewis,0
C5H7F,Lewis,C4H6,SF,0
C6H6,Lewis,C4H6,SF,0
C4H3Cl,Lewis,C4H5Cl,SF,0
C2H3Cl,Lewis,C3H3OH,SF,0
BCl3,Lewis,NH2-,SF,0
BCl3,Lewis,NH3,SF,0
BCl3,Lewis,CH3F,SF,0
C5H7OH,SF,C5H9Cl,Lewis,0
BrF5,Lewis,SO4(2-),SF,0
C3H7F,SF,C4H8(CIS),Lewis,0
BCl3,Lewis,C2HF,SF,0
C3H5Cl,Lewis,C3H5Cl,SF,1
SO4(2-),SF,BCl3,Lewis,0
F2,SF,HI,Lewis,0
CH4,Lewis,CH4,SF,1
O2,SF,Li2,Lewis,0
NH2-,Lewis,NH2-,SF,1
C4H7F,Lewis,C4H10,SF,0
C6H12,SF,C6H12,Lewis,1
C3H3F,SF,BrF5,Lewis,0
O3,Lewis,NF3,SF,0
CH3-,Lewis,CH3-,SF,1
CH3NH2,SF,C2H6,Lewis,0
C5H9Cl,Lewis,C5H12,SF,0
C4H5Cl,Lewis,C3H8O,SF,0
C5H7OH,SF,C4H10,Lewis,0
C4H10,Lewis,C5H7OH,SF,0
BCl3,Lewis,C2HF,SF,0
BCl3,Lewis,NH3,SF,0
CH3Cl,SF,BCl3,Lewis,0
CH3-,SF,BCl3,Lewis,0
CH3Cl,SF,BCl3,Lewis,0
NH3,SF,BCl3,Lewis,0
BCl3,Lewis,NH4+,SF,0
CH4,SF,BCl3,Lewis,0
BCl3,Lewis,NH4+,SF,0
CH4,SF,CH4,Lewis,1
C2H6,Lewis,CH3NH2,SF,0
NH2-,Lewis,NH2-,SF,1
CH4,SF,CH4,Lewis,1
CH3NH2,SF,NH4+,Lewis,0
C2H6,Lewis,CH3NH2,SF,0
C2HF,SF,BCl3,Lewis,0
C6H12,Lewis,C6H12,SF,1
NH4+,Lewis,NH3,SF,0
C4H9Cl,SF,C3H7F,Lewis,0
LiH,Lewis,LiH,SF,1
OH-,SF,LiH,Lewis,0
C6H12,Lewis,C6H12,SF,1
C5H9Cl,Lewis,C5H12,SF,0
CH3Br,SF,BrF5,Lewis,0
C4H10,Lewis,C4H10,SF,1
